,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__activation,param_classifier__alpha,param_classifier__hidden_layer_sizes,param_classifier__solver,param_pca__n_components,param_classifier__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,0.04666843414306641,0.031980424372606314,0.0020097732543945313,0.003109155597924634,relu,0.0001,5,lbfgs,9,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 9}",0.6701646090534978,0.7549019607843137,0.875,0.837875939849624,0.5210526315789473,0.7331475708240791,0.12354790260851736,1748
14,0.03217945098876953,0.009518738004874716,0.0008093833923339844,0.0009912882619679357,relu,0.0001,5,lbfgs,10,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 10}",0.7393162393162392,0.9456582633053221,0.8142857142857143,0.8895833333333334,0.799498746867168,0.8370520579121349,0.07375475892507814,993
15,0.03782830238342285,0.02053819243377794,0.0012142181396484375,0.0009914055558199449,relu,0.0001,5,lbfgs,11,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 11}",0.883994708994709,0.8231640482279868,0.9404761904761905,0.8229949874686717,0.6801169590643273,0.83320715627882,0.0844976201283265,1030
16,0.17262539863586426,0.15152921344375553,0.007238435745239258,0.0027207486431778797,relu,0.0001,6,lbfgs,4,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 4}",0.7485754985754984,0.8136402387041772,0.932608695652174,0.8794642857142857,0.6222222222222222,0.8003993178966667,0.10518385777529196,1342
17,0.029375553131103516,0.0009893344458213435,0.002818441390991211,0.003724190609477923,relu,0.0001,6,lbfgs,5,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 5}",0.883994708994709,0.9382535622944831,1.0,0.8229949874686717,0.6801169590643273,0.8686815793460322,0.10644838469391642,540
18,0.03823332786560059,0.00708191544930688,0.0024190902709960937,0.0029548605283074678,relu,0.0001,6,lbfgs,6,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 6}",0.7075702075702075,0.7372843874391862,1.0,0.7607142857142857,0.6721804511278193,0.7746857763545825,0.11464999945944543,1507
19,0.040239572525024414,0.016687149548199,0.004837942123413086,0.004334824980179334,relu,0.0001,6,lbfgs,7,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 7}",0.7485754985754984,0.8136402387041772,0.9404761904761905,0.8229949874686717,0.7407407407407407,0.8125962559824255,0.07110839950574926,1245
20,0.03219342231750488,0.00762966928434364,0.002418661117553711,0.00295006379485714,relu,0.0001,6,lbfgs,8,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 8}",0.7485754985754984,0.8474126492702344,0.8794642857142857,0.8125,0.7365079365079368,0.8048709955000072,0.054980279249498464,1302
21,0.03781461715698242,0.010199985009874972,0.0020169734954833983,0.0031180268978901362,relu,0.0001,6,lbfgs,9,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 9}",0.8192592592592592,0.6509803921568628,0.7375,0.7915760869565217,0.8002923976608188,0.7595480084091458,0.06184636209501657,1615
22,0.03822436332702637,0.014776357804788738,0.0036227226257324217,0.004482309111458819,relu,0.0001,6,lbfgs,10,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 10}",0.5690476190476191,1.0,0.8142857142857143,0.837875939849624,0.7936507936507938,0.7997829940705423,0.14257738852220658,1347
23,0.0281707763671875,0.007527811476339139,0.006032562255859375,0.004925566553852257,relu,0.0001,6,lbfgs,11,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 6, 'classifier__solver': 'lbfgs', 'pca__n_components': 11}",0.8657407407407407,0.873249299719888,0.8195723684210526,0.8125,0.742857142857143,0.825421786172749,0.046014439735524056,1132
24,0.14443325996398926,0.11011593810465044,0.002418041229248047,0.0029522809531783876,relu,0.0001,7,lbfgs,4,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 4}",0.8192592592592592,0.7058823529411766,1.0,0.875,0.8002923976608188,0.8384274711168166,0.09666254331450273,982
25,0.0522921085357666,0.022611397336303442,0.002011013031005859,0.003111831806488334,relu,0.0001,7,lbfgs,5,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 5}",0.883994708994709,0.7120743034055728,0.9404761904761905,0.8229949874686717,0.6126984126984127,0.7978436946023595,0.11626620258151939,1357
26,0.061160707473754884,0.042772973168058094,0.007642602920532227,0.0039002778997923354,relu,0.0001,7,lbfgs,6,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 6}",0.8749999999999999,0.7647058823529411,0.884375,0.7375,0.6412280701754385,0.7843709884467266,0.08950615143846015,1448
27,0.022549772262573244,0.003907627804757393,0.006034183502197266,0.004926892877214146,relu,0.0001,7,lbfgs,7,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 7}",0.8192592592592592,0.8676470588235293,0.9404761904761905,0.7607142857142857,0.8156862745098039,0.8408659561385528,0.059638159492493306,961
28,0.02776780128479004,0.011691967889033482,0.00563201904296875,0.0038952076864184793,relu,0.0001,7,lbfgs,8,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 8}",0.8115873015873016,0.8676470588235293,0.884375,0.8125,0.7407407407407407,0.8246302748741774,0.04933048193126298,1146
29,0.04386196136474609,0.0247542316631692,0.004021549224853515,0.003356007184679128,relu,0.0001,7,lbfgs,9,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 9}",0.8749999999999999,0.7549019607843137,0.875,0.8229949874686717,0.6833333333333335,0.804893330888196,0.07295911625743758,1301
30,0.030582380294799805,0.0008192043143439666,0.0,0.0,relu,0.0001,7,lbfgs,10,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 10}",0.7075702075702075,0.9382535622944831,0.75,0.875,0.6245614035087718,0.7811584798524576,0.11268821034691512,1473
31,0.028170347213745117,0.006474276348421487,0.0056304454803466795,0.003897086998838315,relu,0.0001,7,lbfgs,11,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 7, 'classifier__solver': 'lbfgs', 'pca__n_components': 11}",0.8115873015873016,0.8136402387041772,0.8289473684210527,0.7607142857142857,0.5644444444444443,0.7602647392606648,0.09541360876227196,1608
32,0.16460967063903809,0.1271443843241485,0.006042861938476562,0.004221508257058205,relu,0.0001,8,lbfgs,4,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 8, 'classifier__solver': 'lbfgs', 'pca__n_components': 4}",0.8115873015873016,0.6019460415745245,0.9404761904761905,0.8125,0.7397101449275364,0.7803039677667127,0.11099315932844764,1477
33,0.035415363311767575,0.007682916795489834,0.002823066711425781,0.0037321370732710277,relu,0.0001,8,lbfgs,5,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 8, 'classifier__solver': 'lbfgs', 'pca__n_components': 5}",0.8115873015873016,0.5873964559085666,0.9404761904761905,0.8229949874686717,0.8549494949494949,0.8004157615899669,0.11792391726604652,1341
